,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
755,Green Light,Lorde,art pop,2017.0,2021‑01‑28,129.0,72.0,59.0,-8.0,9.0,25.0,235.0,2.0,10.0,78.0,2017.0,Solo
756,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,art pop,2017.0,2021‑06‑25,107.0,55.0,78.0,-5.0,13.0,18.0,214.0,23.0,8.0,71.0,2017.0,Solo
758,Despacito,Luis Fonsi,latin,2019.0,2021‑01‑28,178.0,80.0,66.0,-5.0,7.0,84.0,229.0,20.0,15.0,83.0,2017.0,Solo
759,Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,2017.0,2021‑01‑28,138.0,69.0,70.0,-5.0,19.0,31.0,239.0,21.0,15.0,76.0,2017.0,Solo
760,Glorious (feat. Skylar Grey),Macklemore,pop rap,2017.0,2021‑01‑28,140.0,79.0,73.0,-5.0,11.0,36.0,220.0,3.0,5.0,78.0,2017.0,Solo
767,Sky Walker (feat. Travis Scott),Miguel,dance pop,2017.0,2021‑01‑28,146.0,51.0,67.0,-11.0,9.0,18.0,259.0,17.0,4.0,78.0,2017.0,Solo
768,Malibu,Miley Cyrus,dance pop,2017.0,2021‑01‑28,140.0,78.0,57.0,-6.0,8.0,34.0,232.0,8.0,6.0,77.0,2017.0,Solo
769,Nights With You,MØ,art pop,2017.0,2021‑06‑25,120.0,67.0,76.0,-4.0,38.0,60.0,197.0,40.0,10.0,61.0,2017.0,Solo
771,Magnolia,Playboi Carti,atl hip hop,2017.0,2021‑01‑28,163.0,58.0,79.0,-7.0,35.0,44.0,182.0,1.0,29.0,82.0,2017.0,Solo
774,Congratulations,Post Malone,dfw rap,2016.0,2021‑01‑28,123.0,80.0,63.0,-4.0,25.0,49.0,220.0,22.0,4.0,85.0,2017.0,Solo
775,I Fall Apart,Post Malone,dfw rap,2016.0,2021‑01‑28,144.0,54.0,56.0,-5.0,20.0,29.0,223.0,7.0,4.0,83.0,2017.0,Solo
778,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016.0,2021‑01‑28,108.0,43.0,89.0,-10.0,9.0,23.0,177.0,3.0,14.0,81.0,2017.0,Solo
781,No Lie,Sean Paul,dance pop,2018.0,2021‑01‑28,102.0,88.0,74.0,-3.0,21.0,46.0,221.0,5.0,12.0,89.0,2017.0,Solo
782,Fetish (feat. Gucci Mane),Selena Gomez,dance pop,2017.0,2021‑08‑17,123.0,62.0,71.0,-4.0,6.0,27.0,186.0,2.0,6.0,74.0,2017.0,Solo
783,Broccoli,Shelley FKA DRAM,alternative r&b,2016.0,2021‑01‑28,146.0,53.0,89.0,-7.0,6.0,71.0,225.0,24.0,13.0,64.0,2017.0,Solo
785,Love Galore (feat. Travis Scott),SZA,pop,2017.0,2021‑01‑28,135.0,59.0,80.0,-6.0,16.0,41.0,275.0,11.0,7.0,81.0,2017.0,Solo
786,Look What You Made Me Do,Taylor Swift,pop,2017.0,2021‑01‑28,128.0,71.0,77.0,-6.0,13.0,51.0,212.0,20.0,12.0,81.0,2017.0,Solo
787,...Ready For It?,Taylor Swift,pop,2017.0,2021‑01‑28,160.0,76.0,61.0,-7.0,20.0,42.0,208.0,5.0,14.0,78.0,2017.0,Solo
793,goosebumps,Travis Scott,hip hop,2016.0,2021‑01‑28,130.0,73.0,84.0,-3.0,15.0,43.0,244.0,8.0,5.0,88.0,2017.0,Solo
794,BUTTERFLY EFFECT,Travis Scott,hip hop,2018.0,2021‑01‑28,141.0,63.0,76.0,-6.0,11.0,19.0,191.0,5.0,5.0,81.0,2017.0,Solo
795,Jocelyn Flores,XXXTENTACION,emo rap,2017.0,2021‑01‑28,134.0,39.0,87.0,-9.0,30.0,44.0,119.0,47.0,24.0,89.0,2017.0,Solo
796,Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,2017.0,2021‑01‑28,150.0,44.0,91.0,-8.0,14.0,53.0,276.0,2.0,34.0,73.0,2017.0,Solo
797,I Would Like,Zara Larsson,dance pop,2017.0,2021‑01‑28,121.0,71.0,49.0,-4.0,8.0,30.0,227.0,9.0,5.0,62.0,2017.0,Solo
